case_id,case_number,date_time,primary_type,description,location_description,district,ward,criminal_id,
10303552,HY491760,11/06/2015 02:51:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,8,15,27,
10303554,HY491754,11/06/2015 02:27:00 PM,THEFT,RETAIL THEFT,DEPARTMENT STORE,6,21,15,
10303560,HY491576,11/06/2015 10:50:00 AM,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"SCHOOL, PUBLIC, BUILDING",5,6,108,
10303566,HY491737,11/06/2015 01:30:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, GROUNDS",7,17,5,
10303569,HY491758,11/06/2015 02:00:00 PM,WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE,"SCHOOL, PUBLIC, BUILDING",7,6,87,
10303571,HY491751,11/06/2015 02:12:00 PM,THEFT,RETAIL THEFT,DRUG STORE,4,7,18,
10303572,HY491539,11/06/2015 12:09:00 PM,BURGLARY,FORCIBLE ENTRY,RESIDENCE,6,17,135,
10303586,HY491733,11/06/2015 01:38:00 PM,CRIMINAL TRESPASS,TO STATE SUP LAND,OTHER RAILROAD PROP / TRAIN DEPOT,7,20,84,
10303595,HY491797,11/06/2015 02:50:00 PM,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,10,24,110,
10303602,HY491501,11/06/2015 11:00:00 AM,WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE,"SCHOOL, PUBLIC, BUILDING",2,3,139,
